102CBA	01000690
102CB9	111430
102CB9	111720
102CB9	111620
102CB9	111760
102CB9	111700
102CB9	111860
102CB9	111610
102CB9	111950
102CB9	111470
102CB9	01029860
102CB8	245460
102CB8	246550
102CB8	046530
102CB8	157060
102CB8	043540
102CB8	482490
102CB8	042990
102CB8	482510
102CB8	041150
102CB8	046560
102CB7	206710
102CB7	211830
102CB7	205820
102CB7	210120
102CB7	210130
102CB7	205840
102CB7	206820
102CB7	210140
102CB7	210700
102CB7	211070
102CB6	291020
102CB6	290310
102CB6	289580
102CB6	289760
102CB6	290300
102CB6	291000
102CB6	289800
102CB6	290030
102CB6	290600
102CB6	290370
102CB5	065580
102CB5	391710
102CB5	098870
102CB5	004210
102CB5	237300
102CB5	034090
102CB5	187420
102CB5	267210
102CB5	035000
102CB5	065650
102CB4	351460
102CB4	345140
102CB4	353270
102CB4	348510
102CB4	349350
102CB4	345070
102CB4	369200
102CB4	346660
102CB4	489820
102CB4	361890
102CB3	293720
102CB3	291670
102CB3	291490
102CB3	404140
102CB3	292460
102CB3	292000
102CB3	290350
102CB3	404640
102CB3	290080
102CB3	291710
102CB2	329160
102CB2	260260
102CB2	330350
102CB2	328880
102CB2	330650
102CB2	328700
102CB2	328160
102CB2	331200
102CB2	333000
102CB2	330300
102CB1	085100
102CB1	078920
102CB1	004870
102CB1	112170
102CB1	002750
102CB1	455240
102CB1	266580
102CB1	112150
102CB1	344950
102CB1	085260
102CB0	173630
102CB0	177370
102CB0	175170
102CB0	173130
102CB0	176030
102CB0	176060
102CB0	174590
102CB0	303630
102CB0	175470
102CB0	183350
102CAF	456830
102CAF	457310
102CAF	403870
102CAF	464680
102CAF	456580
102CAF	461370
102CAF	456770
102CAF	457690
102CAF	460100
102CAF	458950
102CAE	203400
102CAE	198390
102CAE	196660
102CAE	196670
102CAE	199610
102CAE	199630
102CAE	195090
102CAE	206100
102CAE	01049330
102CAE	019520
102CAD	420270
102CAD	540210
102CAD	099070
102CAD	033040
102CAD	099130
102CAD	032950
102CAD	099160
102CAD	032990
102CAD	420370
102CAD	466790
102CAC	031370
102CAC	162300
102CAC	338850
102CAC	031540
102CAC	338860
102CAC	162380
102CAC	081570
102CAC	018090
102CAC	031490
102CAC	01001390
102CAB	017150
102CAB	017590
102CAB	01075660
102CAB	037670
102CAB	338040
102CAB	261750
102CAB	017120
102CAB	451410
102CAB	016960
102CAB	040660
102CAA	235980
102CAA	377660
102CAA	057920
102CAA	072990
102CAA	187020
102CAA	058600
102CAA	187240
102CAA	047130
102CAA	043260
102CAA	071750
102CA9	491600
102CA9	101730
102CA9	093580
102CA9	095010
102CA9	091870
102CA9	093490
102CA9	092050
102CA9	376240
102CA9	379540
102CA9	386670
102CA8	087110
102CA8	087120
102CA8	034020
102CA8	087260
102CA8	039780
102CA8	087000
102CA8	268450
102CA8	259380
102CA8	087450
102CA8	087320
102CA7	351270
102CA7	354280
102CA7	395160
102CA7	355060
102CA7	361840
102CA7	353520
102CA7	356880
102CA7	360550
102CA7	362160
102CA7	347030
102CA6	018100
102CA6	315390
102CA6	090310
102CA6	315420
102CA6	315310
102CA6	018120
102CA6	018250
102CA6	018580
102CA6	091470
102CA6	315730
102CA5	239460
102CA5	482240
102CA5	479580
102CA5	480420
102CA5	479420
102CA5	479740
102CA5	479840
102CA5	482100
102CA5	481170
102CA5	480610
102CA4	065460
102CA4	065430
102CA4	095400
102CA4	081080
102CA4	200800
102CA4	205260
102CA4	184950
102CA4	01019240
102CA4	146580
102CA4	146590
102CA3	094590
102CA3	091430
102CA3	090060
102CA3	090880
102CA3	099860
102CA3	090610
102CA3	090280
102CA3	092340
102CA3	093640
102CA3	089920
102CA2	001060
102CA2	243950
102CA2	085680
102CA2	373240
102CA2	004260
102CA2	001100
102CA2	016560
102CA2	326480
102CA2	130010
102CA2	01006510
102CA1	096260
102CA1	093630
102CA1	249020
102CA1	205940
102CA1	105210
102CA1	208670
102CA1	105840
102CA1	205610
102CA1	248810
102CA1	209560
102CA0	01069710
102CA0	289850
102CA0	290880
102CA0	289370
102CA0	291210
102CA0	291940
102CA0	289930
102CA0	293280
102CA0	292600
102CA0	290150
102C9F	009680
102C9F	01005110
102C9F	171090
102C9F	010200
102C9F	013430
102C9F	012550
102C9F	011470
102C9F	340340
102C9F	277090
102C9F	160590
102C9E	235160
102C9E	235930
102C9E	235430
102C9E	214150
102C9E	314610
102C9E	234320
102C9E	131890
102C9E	235590
102C9E	235580
102C9E	234330
102C9D	431960
102C9D	478720
102C9D	479470
102C9D	000080
102C9D	033680
102C9D	432030
102C9D	000150
102C9D	031910
102C9D	081650
102C9D	01008260
102C9C	01009130
102C9C	217250
102C9C	216150
102C9C	01009140
102C9C	01009110
102C9C	01055580
102C9C	217590
102C9C	315130
102C9C	01055940
102C9C	318280
102C9B	343400
102C9B	192580
102C9B	020810
102C9B	087690
102C9B	192560
102C9B	020640
102C9B	192550
102C9B	212500
102C9B	342800
102C9B	289710
102C9A	042540
102C9A	043810
102C9A	157090
102C9A	048930
102C9A	159790
102C9A	045520
102C9A	042720
102C9A	158570
102C9A	046570
102C9A	157080
102C91	167660
102C91	390040
102C91	167150
102C91	136250
102C91	168530
102C91	141120
102C91	391940
102C91	392680
102C91	167740
102C91	276280
102C90	422370
102C90	086460
102C90	422310
102C90	423190
102C90	421990
102C90	421840
102C90	422230
102C90	422890
102C90	422930
102C90	460750
102C8F	130090
102C8F	291100
102C8F	185300
102C8F	081290
102C8F	092110
102C8F	130120
102C8F	01022010
102C8F	112920
102C8F	130330
102C8F	01024960
102C8E	166390
102C8E	168010
102C8E	395120
102C8E	038940
102C8E	222390
102C8E	155130
102C8E	267810
102C8E	067470
102C8E	067830
102C8E	067080
102C8D	349690
102C8D	345870
102C8D	347960
102C8D	01078590
102C8D	345820
102C8D	281340
102C8D	355210
102C8D	369240
102C8D	353220
102C8D	01076460
102C8C	202230
102C8C	203650
102C8C	204690
102C8C	202660
102C8C	204960
102C8C	209570
102C8C	196590
102C8C	205770
102C8C	210260
102C8C	212040
102C8B	440780
102C8B	159530
102C8B	442420
102C8B	440480
102C8B	445670
102C8B	443630
102C8B	480360
102C8B	441370
