1-87	269560
1-87	268630
1-87	032240
1-87	395050
1-87	004820
1-87	005060
1-87	035750
1-87	01083950
1-87	01000220
1-87	01000140
1-88	000420
1-88	242720
1-88	084160
1-88	000160
1-88	002290
1-88	032240
1-88	342790
1-88	342760
1-88	343390
1-88	108520
1-89	069300
1-89	038110
1-89	055780
1-89	008920
1-89	016660
1-89	004440
1-89	004320
1-89	031540
1-89	527370
1-89	001230
1-90	302700
1-90	227440
1-90	004260
1-90	418420
1-90	297560
1-90	264590
1-90	530860
1-90	016890
1-90	496230
1-90	103000
1-91	030110
1-91	028970
1-91	247060
1-91	035590
1-91	437570
1-91	002710
1-91	410740
1-91	001230
1-91	527370
1-91	362140
1-92	001960
1-92	053420
1-92	475300
1-92	01012370
1-92	524750
1-92	525370
1-92	002080
1-92	032830
1-92	029790
1-92	01013710
1-93	031600
1-93	225000
1-93	085530
1-93	155520
1-93	410740
1-93	085550
1-93	085650
1-93	002710
1-93	527370
1-93	016700
1-94	016960
1-94	212770
1-94	035460
1-94	247060
1-94	016930
1-94	152800
1-94	016980
1-94	003130
1-94	527370
1-94	341960
2-1	473620
2-1	473160
2-1	474140
2-1	524680
2-1	01100440
2-1	01013710
2-1	01094940
2-1	01049920
2-1	001960
2-1	383050
2-2	053420
2-2	099050
2-2	017760
2-2	01012370
2-2	032870
2-2	017770
2-2	002080
2-2	054180
2-2	054090
2-2	054160
2-3	475300
2-3	030110
2-3	030140
2-3	003470
2-3	001960
2-3	002080
2-3	362140
2-3	372550
2-3	535230
2-3	016570
2-4	001980
2-4	001950
2-4	437570
2-4	162310
2-4	355250
2-4	035370
2-4	104440
2-4	217480
2-4	527370
2-4	01080370
2-5	016890
2-5	433260
2-5	299880
2-5	528660
2-5	427790
2-5	115130
2-5	385290
2-5	253630
2-5	021070
2-5	483400
2-6	000080
2-6	342600
2-6	436860
2-6	103840
2-6	342100
2-6	348190
2-6	080340
2-6	527370
2-6	01021690
2-6	01018530
2-7	047930
2-7	395340
2-7	395240
2-7	479210
2-7	369700
2-7	244820
2-7	244810
2-7	037290
2-7	244450
2-7	218960
2-8	163120
2-8	162640
2-8	099470
2-8	287830
2-8	064630
2-8	079220
2-8	032290
2-8	432030
2-8	000100
2-8	032260
2-9	003070
2-9	003020
2-9	003030
2-9	000080
2-9	342060
2-9	152800
2-9	002760
2-9	01076240
2-9	035460
2-9	029820
2-10	000010
2-10	436790
2-10	041440
2-10	112000
2-10	001600
2-10	032340
2-10	080230
2-10	038140
2-10	035750
2-10	003130
2-11	000010
2-11	001600
2-11	436790
2-11	005970
2-11	004810
2-11	080230
2-11	01013780
2-11	035750
2-11	01011870
2-11	527370
2-12	152650
2-12	000080
2-12	152680
2-12	004300
2-12	000070
2-12	032250
2-12	004490
2-12	032290
2-12	031420
2-12	163180
2-13	152640
2-13	152650
2-13	002660
2-13	000070
2-13	000100
2-13	000080
2-13	032250
2-13	032290
2-13	031420
2-13	003070
2-14	053260
2-14	244650
2-14	528150
2-14	338000
2-14	246510
2-14	226830
2-14	478500
2-14	097690
2-14	338010
2-14	350330
2-26	224330
2-26	471650
2-26	242710
2-26	030040
2-26	095780
2-26	436790
2-26	267450
2-26	021210
2-26	003130
2-26	527370
2-27	030040
2-27	242710
2-27	000200
2-27	436790
2-27	036140
2-27	255510
2-27	323730
2-27	108730
2-27	003130
2-27	527370
2-28	104440
2-28	247060
2-28	346230
2-28	008500
2-28	006430
2-28	001770
2-28	224640
2-28	527370
2-28	212780
2-28	057470
2-29	343000
2-29	165390
2-29	289930
2-29	224640
2-29	288290
2-29	527370
2-29	349070
2-29	291970
2-29	292540
2-29	01001470
2-30	002980
2-30	037510
2-30	174130
2-30	242710
2-30	004070
2-30	132070
2-30	268000
2-30	527370
2-30	01011970
2-30	01002740
2-31	002980
2-31	037510
2-31	004910
2-31	154490
2-31	317560
2-31	001590
2-31	146750
2-31	130190
2-31	527370
2-31	01011970
2-32	01002450
2-32	154720
2-32	029930
2-32	058030
2-32	259600
2-32	056330
2-32	070530
2-32	036520
2-32	335950
2-32	527370
2-33	01013700
2-33	343680
2-33	344630
2-33	258570
2-33	018210
2-33	344680
2-33	344610
2-33	056330
2-33	344200
2-33	344210
2-42	016910
2-42	284430
2-42	035370
2-42	193210
2-42	162310
2-42	108400
2-42	193270
2-42	064630
2-42	000090
2-42	527370
2-43	001600
2-43	341960
2-43	242710
2-43	103850
2-43	103830
2-43	001230
2-43	003610
2-43	01036470
2-43	527370
2-43	003130
2-44	000100
2-44	109690
2-44	342490
2-44	000520
2-44	064630
2-44	108400
2-44	099470
2-44	343000
2-44	098090
2-44	003130
2-45	035460
2-45	342260
2-45	004490
2-45	342430
2-45	031620
2-45	084160
2-45	152770
2-45	224280
2-45	035610
2-45	000270
2-46	035460
2-46	342260
2-46	031620
2-46	004490
2-46	131830
2-46	017040
2-46	342430
2-46	224280
2-46	000270
2-46	527370
2-47	069300
2-47	146590
2-47	080350
2-47	289210
2-47	243880
2-47	001600
2-47	031420
2-47	103850
2-47	056410
2-47	292540
2-48	112000
2-48	000360
2-48	348050
2-48	417110
2-48	349010
2-48	289500
2-48	354660
2-48	156680
2-48	051770
2-48	357800
2-60	000200
2-60	016930
2-60	035370
2-60	016980
2-60	067120
2-60	104440
2-60	288220
2-60	224640
2-60	001230
2-60	527370
2-61	002670
2-61	152650
2-61	000070
2-61	098630
2-61	000100
2-61	239600
2-61	032290
2-61	032250
2-61	001280
2-61	527370
2-62	475300
2-62	030110
2-62	247060
2-62	000130
2-62	437570
2-62	01000460
2-62	016940
2-62	112010
2-62	01000090
2-62	109740
2-63	290890
2-63	069300
2-63	003090
2-63	342600
2-63	000160
2-63	066020
2-63	242710
2-63	289980
2-63	342870
2-63	289270
2-64	036100
2-64	003070
2-64	079130
2-64	341960
2-64	001600
2-64	243880
2-64	135830
2-64	342100
2-64	001230
2-64	103830
2-65	152740
2-65	224290
2-65	242710
2-65	436790
2-65	117030
2-65	224330
2-65	01013150
2-65	267450
2-65	040410
2-65	080860
2-66	017010
2-66	01068790
2-66	035840
2-66	066060
2-66	069580
2-66	004320
2-66	348740
2-66	347530
2-66	01001450
2-66	01076220
2-67	065130
2-67	000200
2-67	031420
2-67	152800
2-67	162640
2-67	000100
2-67	341960
2-67	322720
2-67	000070
2-67	527370
2-68	032260
2-68	112910
2-68	004820
2-68	342600
2-68	032250
2-68	162640
2-68	000100
2-68	342170
2-68	341960
2-68	527370
2-69	001220
2-69	222540
